desc,receiver_player_name,down,ydstogo,qtr,pass_location,pass_length,air_yards,yardline_100,side_of_field,complete_pass,yards_gained,touchdown,interception,passer_player_name
(11:50) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 2 for 16 yards (0-C.Bynum).,T.Franklin,1.0,10,2,left,short,8.0,18,IND,1.0,16.0,0.0,0.0,B.Nix
"(10:46) 10-B.Nix pass short right to 11-T.Franklin for 3 yards, TOUCHDOWN.",T.Franklin,2.0,3,2,right,short,2.0,3,IND,1.0,3.0,1.0,0.0,B.Nix
"(7:04) (No Huddle, Shotgun) 10-B.Nix pass short middle to 5-T.Sherfield to IND 36 for 3 yards (48-J.Bachie).",T.Sherfield,1.0,10,2,middle,short,3.0,39,IND,1.0,3.0,0.0,0.0,B.Nix
"(5:49) (Shotgun) 10-B.Nix pass short left to 13-P.Bryant to IND 29 for 6 yards (20-N.Cross; 4-X.Howard). Indianapolis challenged the first down ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",P.Bryant,3.0,6,2,left,short,3.0,35,IND,1.0,6.0,0.0,0.0,B.Nix
(5:19) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 26 for 3 yards (20-N.Cross; 4-X.Howard).,T.Franklin,1.0,10,2,left,short,-1.0,29,IND,1.0,3.0,0.0,0.0,B.Nix
(4:45) (Shotgun) 10-B.Nix pass incomplete short right to 27-J.Dobbins (44-Z.Franklin).,J.Dobbins,2.0,7,2,right,short,0.0,26,IND,0.0,0.0,0.0,0.0,B.Nix
(3:52) (Shotgun) 10-B.Nix pass incomplete short right to 14-C.Sutton.,C.Sutton,1.0,3,2,right,short,3.0,3,IND,0.0,0.0,0.0,0.0,B.Nix
"(3:06) (Shotgun) 63-A.Palczewski reported in as eligible. 10-B.Nix pass short right to 82-A.Trautman for 2 yards, TOUCHDOWN.",A.Trautman,2.0,2,2,right,short,2.0,2,IND,1.0,2.0,1.0,0.0,B.Nix
(1:25) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to DEN 36 for 4 yards (20-N.Cross).,T.Franklin,1.0,10,2,middle,short,3.0,68,DEN,1.0,4.0,0.0,0.0,B.Nix
"(1:00) (No Huddle, Shotgun) 10-B.Nix pass short left to 28-T.Badie to DEN 36 for no gain (44-Z.Franklin).",T.Badie,2.0,6,2,left,short,-6.0,64,DEN,1.0,0.0,0.0,0.0,B.Nix
"(:33) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep middle to 11-T.Franklin.",T.Franklin,3.0,6,2,middle,deep,18.0,64,DEN,0.0,0.0,0.0,0.0,B.Nix
(14:18) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 1 yard (20-N.Cross).,M.Mims,2.0,5,3,right,short,-5.0,55,DEN,1.0,1.0,0.0,0.0,B.Nix
"(13:13) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to IND 30 for 6 yards (4-X.Howard).",C.Sutton,1.0,10,3,left,short,6.0,36,IND,1.0,6.0,0.0,0.0,B.Nix
(12:35) (Shotgun) 10-B.Nix pass short middle to 12-R.Harvey to IND 14 for 16 yards (0-C.Bynum; 44-Z.Franklin).,R.Harvey,2.0,4,3,middle,short,4.0,30,IND,1.0,16.0,0.0,0.0,B.Nix
"(12:01) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 5 for 9 yards (44-Z.Franklin).",T.Franklin,1.0,10,3,left,short,-1.0,14,IND,1.0,9.0,0.0,0.0,B.Nix
(5:36) (Shotgun) 10-B.Nix pass incomplete short right to 12-R.Harvey.,R.Harvey,1.0,10,3,right,short,1.0,65,DEN,0.0,0.0,0.0,0.0,B.Nix
(4:34) (Shotgun) 10-B.Nix pass short right to 28-T.Badie pushed ob at DEN 49 for 19 yards (29-M.Blackmon).,T.Badie,3.0,15,3,right,short,-4.0,70,DEN,1.0,19.0,0.0,0.0,B.Nix
(2:54) (Shotgun) 10-B.Nix pass incomplete short right to 1-E.Engram (20-N.Cross).,E.Engram,3.0,4,3,right,short,4.0,45,IND,0.0,0.0,0.0,0.0,B.Nix
(12:55) 10-B.Nix pass short left to 27-J.Dobbins pushed ob at IND 26 for 9 yards (48-J.Bachie).,J.Dobbins,1.0,10,4,left,short,0.0,35,IND,1.0,9.0,0.0,0.0,B.Nix
