desc,receiver_player_name,down,ydstogo,qtr,pass_location,pass_length,air_yards,yardline_100,side_of_field,complete_pass,yards_gained,touchdown,interception,passer_player_name
(15:00) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin pushed ob at NYG 2 for 12 yards (28-C.Flott).,T.Franklin,2.0,8,4,right,short,12.0,14,NYG,1.0,12.0,0.0,0.0,B.Nix
(14:17) 10-B.Nix pass incomplete short right to 46-A.Prentice (95-R.Robertson-Harris).,A.Prentice,1.0,2,4,right,short,-6.0,2,NYG,0.0,0.0,0.0,0.0,B.Nix
"(14:14) 10-B.Nix pass short right to 11-T.Franklin for 2 yards, TOUCHDOWN.",T.Franklin,2.0,2,4,right,short,2.0,2,NYG,1.0,2.0,1.0,0.0,B.Nix
TWO-POINT CONVERSION ATTEMPT. 10-B.Nix pass to 14-C.Sutton is complete. ATTEMPT SUCCEEDS.,C.Sutton,,0,4,,,,2,NYG,0.0,2.0,0.0,0.0,B.Nix
(9:37) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at DEN 37 for 4 yards (24-D.Belton).,E.Engram,2.0,3,4,right,short,2.0,67,DEN,1.0,4.0,0.0,0.0,B.Nix
(9:05) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 42 for 5 yards (24-D.Belton).,M.Mims,1.0,10,4,right,short,4.0,63,DEN,1.0,5.0,0.0,0.0,B.Nix
"(8:40) (No Huddle, Shotgun) 10-B.Nix pass incomplete short right to 14-C.Sutton.",C.Sutton,2.0,5,4,right,short,8.0,58,DEN,0.0,0.0,0.0,0.0,B.Nix
(8:36) (Shotgun) 10-B.Nix pass short right to 28-T.Badie to DEN 49 for 7 yards (58-B.Okereke).,T.Badie,3.0,5,4,right,short,-6.0,58,DEN,1.0,7.0,0.0,0.0,B.Nix
(7:47) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram pushed ob at DEN 47 for 8 yards (22-A.Phillips).,E.Engram,1.0,20,4,middle,short,1.0,61,DEN,1.0,8.0,0.0,0.0,B.Nix
"(7:15) (No Huddle, Shotgun) 10-B.Nix pass incomplete short right to 1-E.Engram (0-B.Burns).",E.Engram,2.0,12,4,right,short,-6.0,53,DEN,0.0,0.0,0.0,0.0,B.Nix
(7:12) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram pushed ob at NYG 44 for 9 yards (22-A.Phillips). NYG-0-B.Burns was injured during the play.,E.Engram,3.0,12,4,middle,short,0.0,53,DEN,1.0,9.0,0.0,0.0,B.Nix
(5:52) (Shotgun) 10-B.Nix pass incomplete deep right to 14-C.Sutton. ** Injury Update: NYG-0-B.Burns has returned to the game.,C.Sutton,1.0,10,4,right,deep,19.0,19,NYG,0.0,0.0,0.0,0.0,B.Nix
(5:47) (Shotgun) 10-B.Nix pass short right to 28-T.Badie to NYG 7 for 12 yards (53-D.Muasau; 24-D.Belton).,T.Badie,2.0,10,4,right,short,-6.0,19,NYG,1.0,12.0,0.0,0.0,B.Nix
(5:21) (Shotgun) 10-B.Nix pass incomplete short left to 13-P.Bryant (91-D.Alexander).,P.Bryant,1.0,7,4,left,short,2.0,7,NYG,0.0,0.0,0.0,0.0,B.Nix
TWO-POINT CONVERSION ATTEMPT. 10-B.Nix pass to 11-T.Franklin is complete. ATTEMPT SUCCEEDS.,T.Franklin,,0,4,,,,2,NYG,0.0,2.0,0.0,0.0,B.Nix
(4:47) (Shotgun) 10-B.Nix pass incomplete deep right to 12-R.Harvey [97-D.Lawrence]. DEN-69-M.McGlinchey was injured during the play.,R.Harvey,1.0,10,4,right,deep,17.0,19,NYG,0.0,0.0,0.0,0.0,B.Nix
(4:42) (Shotgun) 10-B.Nix pass short middle to 11-T.Franklin to NYG 14 for 5 yards (58-B.Okereke; 53-D.Muasau).,T.Franklin,2.0,10,4,middle,short,4.0,19,NYG,1.0,5.0,0.0,0.0,B.Nix
"(4:15) (No Huddle, Shotgun) 10-B.Nix pass short right to 19-M.Mims to NYG 2 for 7 yards (28-C.Flott; 58-B.Okereke).",M.Mims,1.0,9,4,right,short,2.0,9,NYG,1.0,7.0,0.0,0.0,B.Nix
"(3:55) (No Huddle) 10-B.Nix pass short right to 12-R.Harvey for 2 yards, TOUCHDOWN.",R.Harvey,2.0,2,4,right,short,1.0,2,NYG,1.0,2.0,1.0,0.0,B.Nix
(2:42) (Shotgun) 10-B.Nix pass short left to 27-J.Dobbins to DEN 31 for -1 yards (0-B.Burns). ** Injury Update: DEN-69-M.McGlinchey has returned to the game.,J.Dobbins,1.0,10,4,left,short,-5.0,68,DEN,1.0,-1.0,0.0,0.0,B.Nix
"(2:17) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin.",T.Franklin,2.0,11,4,middle,short,3.0,69,DEN,0.0,0.0,0.0,0.0,B.Nix
(2:14) (Shotgun) 10-B.Nix pass deep right to 19-M.Mims pushed ob at NYG 38 for 31 yards (22-A.Phillips).,M.Mims,3.0,11,4,right,deep,28.0,69,DEN,1.0,31.0,0.0,0.0,B.Nix
(2:06) (Shotgun) 10-B.Nix pass incomplete short left to 11-T.Franklin.,T.Franklin,1.0,10,4,left,short,6.0,38,NYG,0.0,0.0,0.0,0.0,B.Nix
"(2:04) (No Huddle, Shotgun) 10-B.Nix pass short left to 1-E.Engram to NYG 18 for 20 yards (24-D.Belton).",E.Engram,2.0,10,4,left,short,-2.0,38,NYG,1.0,20.0,0.0,0.0,B.Nix
(:33) (Shotgun) 10-B.Nix pass deep middle to 19-M.Mims to NYG 48 for 29 yards (22-A.Phillips).,M.Mims,1.0,10,4,middle,deep,29.0,77,DEN,1.0,29.0,0.0,0.0,B.Nix
(:18) (Shotgun) 10-B.Nix pass deep left to 14-C.Sutton to NYG 21 for 22 yards (2-D.Banks).,C.Sutton,1.0,5,4,left,deep,20.0,43,NYG,1.0,22.0,0.0,0.0,B.Nix
(:03) (No Huddle) 10-B.Nix spiked the ball to stop the clock.,,1.0,10,4,,,-1.0,21,NYG,0.0,0.0,0.0,0.0,B.Nix
