desc,play_type,qtr,ydstogo,ydsnet,yardline_100,half_seconds_remaining,quarter_seconds_remaining,game_half
(12:35) (Shotgun) 10-B.Nix pass short middle to 12-R.Harvey to IND 14 for 16 yards (0-C.Bynum; 44-Z.Franklin).,pass,3,4,60,30,1655,755,Half2
"(12:01) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to IND 5 for 9 yards (44-Z.Franklin).",pass,3,10,60,14,1621,721,Half2
(5:36) (Shotgun) 10-B.Nix pass incomplete short right to 12-R.Harvey.,pass,3,10,20,65,1236,336,Half2
(4:34) (Shotgun) 10-B.Nix pass short right to 28-T.Badie pushed ob at DEN 49 for 19 yards (29-M.Blackmon).,pass,3,15,20,70,1174,274,Half2
(2:54) (Shotgun) 10-B.Nix pass incomplete short right to 1-E.Engram (20-N.Cross).,pass,3,4,20,45,1074,174,Half2
(12:55) 10-B.Nix pass short left to 27-J.Dobbins pushed ob at IND 26 for 9 yards (48-J.Bachie).,pass,4,10,22,35,775,775,Half2
(11:33) (Shotgun) 10-B.Nix pass deep right intended for 14-C.Sutton INTERCEPTED by 0-C.Bynum at IND 9. 0-C.Bynum to IND 9 for no gain (14-C.Sutton).,pass,4,3,22,28,693,693,Half2
(5:39) (Shotgun) 10-B.Nix pass short left to 1-E.Engram to IND 43 for 12 yards (23-K.Moore; 44-Z.Franklin).,pass,4,11,41,55,339,339,Half2
(3:59) (Shotgun) 10-B.Nix pass incomplete short left to 13-P.Bryant (94-T.Lewis).,pass,4,24,41,39,239,239,Half2
(3:55) (Shotgun) 10-B.Nix pass short right to 11-T.Franklin to IND 24 for 15 yards (99-D.Buckner).,pass,4,24,41,39,235,235,Half2
(11:49) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 36 for 3 yards (48-B.Dupree).,pass,1,10,7,67,1609,709,Half1
"(10:26) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 85-L.Krull.",pass,1,3,7,60,1526,626,Half1
(5:47) (Shotgun) 10-B.Nix pass incomplete short right.,pass,1,20,-1,71,1247,347,Half1
(5:40) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 38 for 9 yards (3-D.James).,pass,1,20,-1,71,1240,340,Half1
(1:56) 10-B.Nix pass incomplete short left to 27-J.Dobbins.,pass,1,12,-2,48,1016,116,Half1
(1:52) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton (24-B.St-Juste).,pass,1,12,-2,48,1012,112,Half1
(10:23) 10-B.Nix pass short right to 14-C.Sutton to DEN 22 for 13 yards (29-T.Still).,pass,2,10,28,91,623,623,Half1
(8:19) (Shotgun) 10-B.Nix pass deep middle to 14-C.Sutton to DEN 46 for 19 yards (23-T.Jefferson).,pass,2,5,28,73,499,499,Half1
(7:38) (Shotgun) 10-B.Nix sacked at DEN 40 for -6 yards (3-D.James).,pass,2,10,28,54,458,458,Half1
(6:13) (Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [91-D.Hand].,pass,2,19,28,63,373,373,Half1
(1:46) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to DEN 36 for 8 yards (3-D.James).,pass,2,10,72,72,106,106,Half1
"(1:26) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 11-T.Franklin (91-D.Hand).",pass,2,2,72,64,86,86,Half1
(1:22) (Shotgun) 10-B.Nix pass short right to 14-C.Sutton to DEN 40 for 4 yards (26-D.Jackson).,pass,2,2,72,64,82,82,Half1
"(1:02) (No Huddle, Shotgun) 10-B.Nix pass incomplete short left to 19-M.Mims.",pass,2,10,72,60,62,62,Half1
(:58) (Shotgun) 10-B.Nix pass incomplete deep right [29-T.Still].,pass,2,10,72,60,58,58,Half1
"(:46) (Shotgun) 10-B.Nix pass deep left to 14-C.Sutton for 52 yards, TOUCHDOWN.",pass,2,2,72,52,46,46,Half1
"(12:47) (No Huddle, Shotgun) 10-B.Nix pass incomplete deep right to 19-M.Mims [92-J.Eboigbe].",pass,3,8,6,28,1667,767,Half2
(12:41) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at LAC 24 for 4 yards (50-C.Murphy).,pass,3,8,6,28,1661,761,Half2
(5:29) 10-B.Nix pass short left to 11-T.Franklin to DEN 35 for 1 yard (43-T.Dye; 3-D.James).,pass,3,10,1,66,1229,329,Half2
(4:30) (Shotgun) 10-B.Nix pass short middle to 12-R.Harvey to DEN 35 for 2 yards (29-T.Still).,pass,3,11,1,67,1170,270,Half2
(15:00) (Shotgun) 10-B.Nix pass short middle to 85-L.Krull to LAC 32 for 9 yards (23-T.Jefferson; 3-D.James). (Virtual Measurement).,pass,4,10,51,41,900,900,Half2
"(14:21) 10-B.Nix pass short middle to 14-C.Sutton to LAC 10 for 22 yards (32-A.Gilman). PENALTY on LAC-32-A.Gilman, Face Mask, 5 yards, enforced at LAC 10.",pass,4,1,51,32,861,861,Half2
(12:28) (Shotgun) 10-B.Nix pass incomplete short right to 11-T.Franklin (23-T.Jefferson).,pass,4,8,51,8,748,748,Half2
(6:42) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 17 for 7 yards (32-A.Gilman).,pass,4,20,9,90,402,402,Half2
(2:31) (Shotgun) 10-B.Nix sacked ob at DEN 22 for 0 yards (43-T.Dye).,pass,4,10,0,78,151,151,Half2
(2:25) (Shotgun) 10-B.Nix pass short right to 27-J.Dobbins to DEN 22 for no gain (23-T.Jefferson).,pass,4,10,0,78,145,145,Half2
(2:00) (Shotgun) 10-B.Nix pass incomplete deep left to 14-C.Sutton.,pass,4,10,0,78,120,120,Half2
(8:23) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 38 for 5 yards (23-D.Hill).,pass,1,7,8,67,1403,503,Half1
(3:49) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,pass,1,7,64,61,1129,229,Half1
(3:43) (Shotgun) 10-B.Nix pass short middle to 14-C.Sutton to CIN 49 for 12 yards (28-J.Newton).,pass,1,7,64,61,1123,223,Half1
(3:05) 10-B.Nix pass short right to 82-A.Trautman pushed ob at CIN 23 for 26 yards (44-D.Knight).,pass,1,10,64,49,1085,185,Half1
(:27) (Shotgun) 10-B.Nix pass incomplete short right to 13-P.Bryant.,pass,1,5,64,6,927,27,Half1
(11:52) (Shotgun) 10-B.Nix pass short left to 19-M.Mims pushed ob at DEN 31 for 11 yards (22-G.Stone; 20-D.Turner).,pass,2,10,80,80,712,712,Half1
"(11:20) (No Huddle, Shotgun) 10-B.Nix pass incomplete short right to 82-A.Trautman.",pass,2,10,80,69,680,680,Half1
(11:15) (Shotgun) 10-B.Nix pass short left to 82-A.Trautman pushed ob at DEN 37 for 6 yards (29-C.Taylor-Britt).,pass,2,10,80,69,675,675,Half1
"(10:39) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton pushed ob at CIN 44 for 19 yards (22-G.Stone). Penalty on CIN-99-M.Murphy, Defensive Offside, declined.",pass,2,4,80,63,639,639,Half1
(10:08) (Shotgun) 10-B.Nix pass incomplete short left to 12-R.Harvey.,pass,2,10,80,44,608,608,Half1
(9:24) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to CIN 16 for 22 yards (44-D.Knight). CIN-44-D.Knight was injured during the play.,pass,2,4,80,38,564,564,Half1
"(8:11) (Shotgun) 10-B.Nix pass short right to 45-N.Adkins to DEN 28 for -2 yards (92-B.Hill). ** Injury Update: CIN-44-D.Knight has returned to the game. Penalty on DEN-60-L.Wattenberg, Ineligible Downfield Pass, declined.",pass,2,10,68,70,491,491,Half1
(5:03) (Shotgun) 10-B.Nix pass deep middle to 11-T.Franklin to CIN 24 for 23 yards (55-L.Wilson).,pass,2,17,68,47,303,303,Half1
"(4:06) (No Huddle, Shotgun) 10-B.Nix pass short left to 11-T.Franklin to CIN 11 for 6 yards (20-D.Turner, 22-G.Stone).",pass,2,3,68,17,246,246,Half1
(3:26) 10-B.Nix pass incomplete short left to 1-E.Engram.,pass,2,10,68,11,206,206,Half1
(3:20) (Shotgun) 10-B.Nix pass short right to 1-E.Engram pushed ob at CIN 2 for 9 yards (44-D.Knight; 27-J.Battle).,pass,2,10,68,11,200,200,Half1
"(2:04) 10-B.Nix pass short right intended for 11-T.Franklin INTERCEPTED by 44-D.Knight at CIN -5. Touchback. The Replay Official reviewed the interception ruling, and the play was Upheld. The ruling on the field stands.",pass,2,1,68,2,124,124,Half1
(1:09) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 22 for 2 yards (28-J.Newton).,pass,2,10,80,80,69,69,Half1
"(:49) (No Huddle, Shotgun) 10-B.Nix pass short right to 11-T.Franklin to DEN 33 for 11 yards (20-D.Turner). Penalty on CIN-44-D.Knight, Defensive Holding, declined.",pass,2,8,80,78,49,49,Half1
(:42) (Shotgun) 10-B.Nix pass incomplete short left to 1-E.Engram.,pass,2,10,80,67,42,42,Half1
(:38) (Shotgun) 10-B.Nix pass incomplete deep right to 11-T.Franklin.,pass,2,10,80,67,38,38,Half1
(:33) (Shotgun) 10-B.Nix pass deep left to 19-M.Mims to CIN 39 for 28 yards (22-G.Stone).,pass,2,10,80,67,33,33,Half1
(:26) (Shotgun) 10-B.Nix pass short right to 28-T.Badie pushed ob at CIN 28 for 11 yards (23-D.Hill) [96-C.Sample].,pass,2,10,80,39,26,26,Half1
(:21) (Shotgun) 10-B.Nix pass incomplete short middle to 28-T.Badie.,pass,2,10,80,28,21,21,Half1
"(:17) (Shotgun) 10-B.Nix pass short left to 14-C.Sutton to CIN 20 for 8 yards (44-D.Knight). Penalty on CIN-58-J.Ossai, Defensive Offside, declined.",pass,2,10,80,28,17,17,Half1
"(:13) (Shotgun) 10-B.Nix pass deep right to 14-C.Sutton for 20 yards, TOUCHDOWN.",pass,2,2,80,20,13,13,Half1
(14:54) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 38 for 8 yards (23-D.Hill).,pass,3,10,14,70,1794,894,Half2
(13:36) (Shotgun) 10-B.Nix pass incomplete short right to 45-N.Adkins (23-D.Hill).,pass,3,10,14,57,1716,816,Half2
(12:52) (Shotgun) 10-B.Nix pass incomplete deep left to 1-E.Engram.,pass,3,9,14,56,1672,772,Half2
"(9:36) (Shotgun) 10-B.Nix pass incomplete short middle to 14-C.Sutton. Penalty on DEN-13-P.Bryant, Offensive Offside, declined.",pass,3,10,30,70,1476,576,Half2
(9:32) (Shotgun) 10-B.Nix pass short left to 12-R.Harvey to DEN 44 for 14 yards (91-T.Hendrickson; 23-D.Hill).,pass,3,10,30,70,1472,572,Half2
(8:18) (Shotgun) 10-B.Nix pass short right to 27-J.Dobbins to DEN 33 for 4 yards (23-D.Hill; 55-L.Wilson).,pass,3,25,30,71,1398,498,Half2
"(7:34) (Shotgun) 10-B.Nix pass short right to 1-E.Engram to DEN 40 for 7 yards (90-K.Jenkins; 27-J.Battle). Penalty on DEN-60-L.Wattenberg, Ineligible Downfield Pass, declined.",pass,3,21,30,67,1354,454,Half2
(7:07) (Shotgun) 10-B.Nix pass short left to 19-M.Mims to DEN 45 for 5 yards (22-G.Stone).,pass,3,14,30,60,1327,427,Half2
(2:13) 10-B.Nix pass short right to 45-N.Adkins to DEN 17 for 7 yards (23-D.Hill).,pass,3,7,37,90,1033,133,Half2
(1:32) (Shotgun) 10-B.Nix pass short left to 11-T.Franklin to DEN 32 for 15 yards (49-B.Carter).,pass,3,10,37,83,992,92,Half2
(:06) 10-B.Nix pass short left to 12-R.Harvey pushed ob at DEN 43 for 10 yards (28-J.Newton).,pass,3,9,37,67,906,6,Half2
(14:27) (Shotgun) 10-B.Nix pass incomplete deep middle to 11-T.Franklin.,pass,4,24,37,71,867,867,Half2
(14:21) (Shotgun) 10-B.Nix pass short left to 12-R.Harvey to DEN 33 for 4 yards (44-D.Knight).,pass,4,24,37,71,861,861,Half2
(13:37) (Shotgun) 10-B.Nix pass short middle to 1-E.Engram to DEN 44 for 11 yards (27-J.Battle).,pass,4,20,37,67,817,817,Half2
(9:09) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to CIN 44 for 12 yards (28-J.Newton; 55-L.Wilson).,pass,4,1,76,56,549,549,Half2
"(5:02) (Shotgun) 10-B.Nix pass short left to 12-R.Harvey for 12 yards, TOUCHDOWN.",pass,4,5,76,12,302,302,Half2
(13:35) (Shotgun) 10-B.Nix pass incomplete deep right to 14-C.Sutton.,pass,1,4,6,63,1715,815,Half1
(10:51) (Shotgun) 10-B.Nix pass short right to 19-M.Mims to DEN 46 for 4 yards (27-Q.Mitchell).,pass,1,10,32,58,1551,651,Half1
(10:15) 10-B.Nix pass incomplete short right to 45-N.Adkins.,pass,1,6,32,54,1515,615,Half1
"(10:10) (No Huddle, Shotgun) 10-B.Nix pass short right to 14-C.Sutton to PHI 47 for 7 yards (27-Q.Mitchell; 30-J.Campbell).",pass,1,6,32,54,1510,610,Half1
"(8:30) (No Huddle, Shotgun) 10-B.Nix pass short left to 14-C.Sutton to PHI 39 for 4 yards (30-J.Campbell; 27-Q.Mitchell).",pass,1,6,32,43,1410,510,Half1
"(7:01) (Shotgun) 10-B.Nix sacked at PHI 46 for -9 yards (33-C.DeJean). FUMBLES (33-C.DeJean), RECOVERED by PHI-58-J.Hunt at PHI 39. The Replay Official reviewed the fumble ruling, and the play was REVERSED. (Shotgun) 10-B.Nix pass incomplete short left to 11-T.Franklin (33-C.DeJean).",pass,1,13,32,37,1321,421,Half1
(6:57) (Shotgun) 10-B.Nix pass incomplete deep middle to 1-E.Engram [98-J.Carter].,pass,1,13,32,37,1317,417,Half1
(:20) 10-B.Nix pass deep right to 11-T.Franklin pushed ob at DEN 49 for 20 yards (7-K.Ringo) [52-Z.Smith].,pass,1,10,24,71,920,20,Half1
(15:00) (Shotgun) 10-B.Nix pass short left to 27-J.Dobbins pushed ob at PHI 46 for 5 yards (53-Z.Baun).,pass,2,10,24,51,900,900,Half1
(12:44) (Shotgun) 10-B.Nix pass incomplete deep left to 5-T.Sherfield [0-J.Uche].,pass,2,8,24,34,764,764,Half1
"(12:38) (No Huddle, Shotgun) 10-B.Nix sacked at PHI 47 for -13 yards (52-Z.Smith).",pass,2,8,24,34,758,758,Half1
(7:15) (Shotgun) 10-B.Nix pass short left to 5-T.Sherfield to DEN 34 for 15 yards (7-K.Ringo).,pass,2,10,17,81,435,435,Half1
(6:39) (Shotgun) 10-B.Nix pass short right to 12-R.Harvey to DEN 40 for 6 yards (7-K.Ringo).,pass,2,10,17,66,399,399,Half1
"(5:03) (No Huddle, Shotgun) 10-B.Nix pass incomplete short middle to 1-E.Engram [13-A.Ojulari].",pass,2,8,17,64,303,303,Half1
(2:18) (Shotgun) 10-B.Nix pass incomplete short left.,pass,2,10,21,80,138,138,Half1
(2:12) (Shotgun) 10-B.Nix pass short right to 28-T.Badie to DEN 36 for 16 yards (32-R.Blankenship).,pass,2,10,21,80,132,132,Half1
