Description,Throw Depth,Pass Location,Complete Pass
"(:17) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 84-L.HUMPHREY PUSHED OB AT LV 22 FOR 21 YARDS (7-T.MOEHRIG). PENALTY ON LV-18-J.JONES, ILLEGAL CONTACT, DECLINED.",Deep,Right,1
(13:49) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 38-J.MCLAUGHLIN TO LV 46 FOR 4 YARDS (44-K.CHAISSON; 41-R.SPILLANE).,Short,Right,1
(3:19) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 14-C.SUTTON.,Short,Left,0
"(5:32) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 38-J.MCLAUGHLIN. ** INJURY UPDATE: NYJ-98-B.HECTOR HAS RETURNED TO THE GAME.  PENALTY ON NYJ-99-W.MCDONALD, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT NYJ 33 - NO PLAY.",Short,Left,0
"(5:37) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT MIDDLE TO 84-L.HUMPHREY. PENALTY ON NYJ-30-M.CARTER, DEFENSIVE PASS INTERFERENCE, 14 YARDS, ENFORCED AT NYJ 47 - NO PLAY.",Short,Middle,0
(13:02) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 33-J.WILLIAMS.,Short,Right,0
(13:44) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 14-C.SUTTON [93-T.MCKINLEY].,Deep,Left,0
"(13:49) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 14-C.SUTTON. PENALTY ON DEN-74-B.POWERS, INELIGIBLE DOWNFIELD PASS, DECLINED.",Short,Left,0
"(14:08) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS PUSHED OB AT NYJ 28 FOR 2 YARDS (56-QI.WILLIAMS). PENALTY ON DEN-16-T.FRANKLIN, OFFENSIVE PASS INTERFERENCE, 10 YARDS, ENFORCED AT NYJ 30 - NO PLAY.",Short,Left,1
"(6:03) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 38-J.MCLAUGHLIN TO IND 26 FOR 2 YARDS (33-S.WOMACK).",Short,Right,1
(15:00) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 14-C.SUTTON (27-Z.MCCOLLUM) [43-C.BRASWELL].,Short,Right,0
"(:20) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 80-G.DULCICH TO TB 16 FOR 4 YARDS (27-Z.MCCOLLUM). PENALTY ON TB-0-Y.DIABY, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT TB 20 - NO PLAY.",Short,Right,1
"(:44) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 33-J.WILLIAMS TO TB 31 FOR -6 YARDS (29-C.IZIEN, 54-L.DAVID). PENALTY ON TB-9-J.TRYON, DEFENSIVE OFFSIDE, 5 YARDS, ENFORCED AT TB 25 - NO PLAY.",Short,Right,1
(1:33) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT LEFT TO 14-C.SUTTON (95-C.BREWER).,Short,Left,0
"(13:53) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 14-C.SUTTON PUSHED OB AT TB 24 FOR 6 YARDS (35-J.DEAN).",Short,Left,1
(14:19) (SHOTGUN) 10-B.NIX PASS DEEP LEFT TO 14-C.SUTTON TO TB 30 FOR 17 YARDS (35-J.DEAN).,Deep,Left,1
"(11:52) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 33-J.WILLIAMS TO TB 3 FOR 11 YARDS (35-J.DEAN, 23-T.SMITH).",Short,Left,1
(13:47) (SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 11-J.REYNOLDS TO TB 11 FOR 31 YARDS (27-Z.MCCOLLUM).,Deep,Right,1
"(1:24) 10-B.NIX TO KC 41 FOR -1 YARDS. FUMBLES, AND RECOVERS AT KC 42. 10-B.NIX PASS INCOMPLETE SHORT RIGHT [23-D.TRANQUILL].",Short,Right,0
"(1:21) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 16-T.FRANKLIN TO KC 38 FOR 2 YARDS (27-C.CONNER). PENALTY ON DEN-60-L.WATTENBERG, INELIGIBLE DOWNFIELD PASS, 5 YARDS, ENFORCED AT KC 40 - NO PLAY.",Short,Right,1
(:53) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 82-A.TRAUTMAN PUSHED OB AT KC 11 FOR 34 YARDS (6-B.COOK).,Short,Left,1
(15:00) (SHOTGUN) 10-B.NIX PASS SHORT LEFT TO 19-M.MIMS TO KC 6 FOR 4 YARDS (23-D.TRANQUILL).,Short,Left,1
(11:37) (NO HUDDLE) 10-B.NIX PASS SHORT RIGHT TO 38-J.MCLAUGHLIN PUSHED OB AT BUF 14 FOR NO GAIN (39-C.LEWIS). BUF-39-C.LEWIS WAS INJURED DURING THE PLAY.,Short,Right,1
(12:06) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 14-C.SUTTON TO BUF 14 FOR 11 YARDS (43-T.BERNARD; 7-TA.JOHNSON).,Short,Right,1
(12:11) (SHOTGUN) 10-B.NIX PASS INCOMPLETE SHORT RIGHT TO 17-D.VELE.,Short,Right,0
"(13:44) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 16-T.FRANKLIN TO BUF 33 FOR 11 YARDS (47-C.BENFORD).",Short,Right,1
(8:42) (SHOTGUN) 10-B.NIX PASS INCOMPLETE DEEP LEFT TO 14-C.SUTTON [40-V.MILLER].,Deep,Left,0
(9:24) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 19-M.MIMS TO BUF 39 FOR -3 YARDS (43-T.BERNARD).,Short,Right,1
"(12:43) (NO HUDDLE, SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 16-T.FRANKLIN FOR 43 YARDS, TOUCHDOWN [94-D.SMOOT].",Deep,Right,1
"(5:43) (SHOTGUN) 10-B.NIX PASS SHORT RIGHT TO 38-J.MCLAUGHLIN TO KC 35 FOR 6 YARDS (13-N.JOHNSON, 55-J.UCHE).",Short,Right,1
