desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,td_player_name
"(2:52) 6-B.Mayfield scrambles up the middle to NYJ 31 for 2 yards (97-H.Phillips). PENALTY on NYJ-72-M.Clemons, Face Mask, 15 yards, enforced at NYJ 31.",run,Half1,10,2,1.0,2.0,0.0,1.0,,0.0,0.0,1,,
(2:21) (Shotgun) 7-B.Irving left end to NYJ 18 for -2 yards (56-Qu.Williams).,run,Half1,10,2,1.0,-2.0,0.0,0.0,,0.0,0.0,0,,
(1:22) (Shotgun) 7-B.Irving up the middle to TB 28 for 5 yards (56-Qu.Williams).,run,Half1,12,2,1.0,5.0,0.0,0.0,,0.0,0.0,0,,
(:56) (Shotgun) 7-B.Irving left end to TB 31 for no gain (94-T.Baron). NYJ-56-Qu.Williams was injured during the play.,run,Half1,12,2,3.0,0.0,0.0,0.0,,1.0,0.0,0,,
(14:55) 7-B.Irving left guard to TB 39 for 16 yards (8-A.Cisco).,run,Half2,15,3,1.0,16.0,0.0,0.0,,0.0,0.0,0,,
(14:17) 7-B.Irving up the middle to TB 42 for 3 yards (95-Q.Williams; 97-H.Phillips).,run,Half2,15,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
"(11:58) (Shotgun) 7-B.Irving left end to NYJ 46 for 7 yards (44-J.Sherwood, 41-M.McCrary-Ball).",run,Half2,15,3,1.0,7.0,0.0,0.0,,0.0,0.0,0,,
(11:17) (Shotgun) 7-B.Irving left end to NYJ 42 for 4 yards (41-M.McCrary-Ball; 44-J.Sherwood).,run,Half2,15,3,2.0,4.0,0.0,0.0,,0.0,0.0,0,,
(10:34) (Shotgun) 6-B.Mayfield scrambles right end to NYJ 32 for 10 yards (27-M.Moore).,run,Half2,15,3,3.0,10.0,0.0,0.0,,0.0,0.0,0,,
(9:56) 7-B.Irving left guard to NYJ 35 for -3 yards (95-Q.Williams).,run,Half2,15,3,1.0,-3.0,0.0,0.0,,0.0,0.0,0,,
(8:44) 7-B.Irving right tackle to NYJ 20 for 1 yard (21-B.Stephens).,run,Half2,15,3,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(7:19) 7-B.Irving right guard to NYJ 9 for no gain (95-Q.Williams).,run,Half2,15,3,1.0,0.0,0.0,0.0,,0.0,0.0,0,,
(6:39) 7-B.Irving left end to NYJ 10 for -1 yards (21-B.Stephens).,run,Half2,15,3,2.0,-1.0,0.0,0.0,,0.0,0.0,0,,
(:27) 1-R.White left guard to TB 45 for 6 yards (41-M.McCrary-Ball; 94-T.Baron).,run,Half2,17,3,1.0,6.0,0.0,0.0,,0.0,0.0,0,,
(15:00) 1-R.White left end to TB 40 for -5 yards (96-L.Taylor).,run,Half2,17,4,2.0,-5.0,0.0,0.0,,0.0,0.0,0,,
(9:27) 7-B.Irving right guard to NYJ 42 for 11 yards (21-B.Stephens).,run,Half2,19,4,1.0,11.0,0.0,0.0,,0.0,0.0,0,,
(8:43) 7-B.Irving left tackle to NYJ 39 for 3 yards (41-M.McCrary-Ball; 27-M.Moore).,run,Half2,19,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
"(7:18) 7-B.Irving left guard to NYJ 32 for -1 yards (8-A.Cisco, 1-A.Gardner). NYJ-1-A.Gardner was injured during the play.",run,Half2,19,4,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,
(3:40) 7-B.Irving left tackle to TB 38 for 3 yards (51-F.Mauigoa).,run,Half2,21,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(3:36) 6-B.Mayfield scrambles right end to NYJ 29 for 33 yards (30-M.Carter).,run,Half2,21,4,2.0,33.0,0.0,0.0,,0.0,0.0,0,,
(3:17) 7-B.Irving left guard to NYJ 26 for 3 yards (51-F.Mauigoa; 21-B.Stephens).,run,Half2,21,4,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
(2:33) 7-B.Irving up the middle to NYJ 24 for 2 yards (97-H.Phillips; 44-J.Sherwood).,run,Half2,21,4,2.0,2.0,0.0,0.0,,0.0,0.0,0,,
(2:28) (Shotgun) 7-B.Irving left tackle to NYJ 20 for 4 yards (44-J.Sherwood; 27-M.Moore).,run,Half2,21,4,3.0,4.0,0.0,0.0,,1.0,0.0,0,,
(:52) 7-B.Irving up the middle to NYJ 17 for 1 yard (55-B.McGregor; 97-H.Phillips).,run,Half2,22,4,1.0,1.0,0.0,0.0,,0.0,0.0,0,,
(14:32) 7-B.Irving left tackle to TB 43 for 15 yards (33-C.DeJean; 24-A.Mukuba).,run,Half1,1,1,2.0,15.0,0.0,0.0,,0.0,0.0,0,,
(13:42) (Shotgun) 7-B.Irving up the middle to TB 48 for 5 yards (53-Z.Baun; 90-J.Davis).,run,Half1,1,1,2.0,5.0,0.0,0.0,,0.0,0.0,0,,
(7:03) 7-B.Irving right end to TB 30 for 2 yards (27-Q.Mitchell).,run,Half1,4,1,1.0,2.0,0.0,0.0,,0.0,0.0,0,,
"(5:48) (No Huddle, Shotgun) 7-B.Irving right end to TB 37 for -1 yards (24-A.Mukuba, 0-J.Uche).",run,Half1,4,1,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,
(4:22) 7-B.Irving left tackle to PHI 21 for 8 yards (53-Z.Baun).,run,Half1,4,1,1.0,8.0,0.0,0.0,,0.0,0.0,0,,
(3:37) 7-B.Irving right end to PHI 20 for 1 yard (24-A.Mukuba).,run,Half1,4,1,2.0,1.0,0.0,0.0,,0.0,0.0,0,,
(2:58) 1-R.White up the middle to PHI 15 for 5 yards (94-B.Young).,run,Half1,4,1,3.0,5.0,0.0,0.0,,0.0,0.0,0,,
(2:11) (Shotgun) 7-B.Irving left guard to PHI 16 for -1 yards (58-J.Hunt).,run,Half1,4,1,1.0,-1.0,0.0,0.0,,0.0,0.0,0,,
(10:40) 1-R.White left tackle to TB 39 for 2 yards (98-J.Carter).,run,Half1,6,2,2.0,2.0,0.0,0.0,,0.0,0.0,0,,
(6:03) 17-S.Shepard right end to TB 26 for 6 yards (27-Q.Mitchell).,run,Half1,8,2,1.0,6.0,0.0,0.0,,0.0,0.0,0,,
(12:32) 7-B.Irving left end to PHI 38 for 2 yards (33-C.DeJean). ** Injury Update: TB-7-B.Irving has returned to the game.,run,Half2,12,3,1.0,2.0,0.0,0.0,,0.0,0.0,0,,
(8:11) 7-B.Irving left tackle to TB 22 for 5 yards (30-J.Campbell; 53-Z.Baun).,run,Half2,16,3,1.0,5.0,0.0,0.0,,0.0,0.0,0,,
"(7:26) (Shotgun) 7-B.Irving left tackle to TB 24 for 2 yards (58-J.Hunt; 30-J.Campbell). FUMBLES (58-J.Hunt), RECOVERED by PHI-7-K.Ringo at TB 25. The Replay Official reviewed the runner was not down by contact ruling, and the play was Upheld. The ruling on the field stands.",run,Half2,16,3,2.0,2.0,0.0,0.0,,0.0,0.0,0,B.Irving,
(3:09) 1-R.White left tackle to TB 28 for 3 yards (30-J.Campbell).,run,Half2,18,3,1.0,3.0,0.0,0.0,,0.0,0.0,0,,
