desc,play_type,game_half,drive,qtr,down,rushing_yards,first_down_pass,first_down_penalty,receiving_yards,third_down_failed,fourth_down_converted,penalty,fumbled_1_player_name,fumbled_2_player_name,td_player_name
"(1:04) (Shotgun) 6-B.Mayfield pass deep middle to 2-E.Egbuka for 25 yards, TOUCHDOWN.",pass,Half2,18,4,1.0,,1.0,0.0,25.0,0.0,0.0,0,,,E.Egbuka
(11:53) (Shotgun) 6-B.Mayfield pass incomplete short right.,pass,Half1,2,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(11:45) (Shotgun) 1-R.White up the middle to TB 39 for 4 yards (39-H.To'oTo'o).,run,Half1,2,1,2.0,4.0,0.0,0.0,,0.0,0.0,0,,,
(11:05) (Shotgun) 6-B.Mayfield pass short middle to 13-M.Evans to TB 47 for 8 yards (24-D.Stingley).,pass,Half1,2,1,3.0,,1.0,0.0,8.0,0.0,0.0,0,,,
(10:28) (Shotgun) 6-B.Mayfield pass incomplete deep middle to 2-E.Egbuka (0-A.Al-Shaair).,pass,Half1,2,1,1.0,,0.0,0.0,,0.0,0.0,0,,,
(10:21) (Shotgun) 6-B.Mayfield pass short middle to 88-C.Otton to HOU 41 for 12 yards (8-C.Gardner-Johnson).,pass,Half1,2,1,2.0,,1.0,0.0,12.0,0.0,0.0,0,,,
(9:45) (Shotgun) 7-B.Irving right guard to HOU 35 for 6 yards (4-K.Lassiter).,run,Half1,2,1,1.0,6.0,0.0,0.0,,0.0,0.0,0,,,
(9:06) 6-B.Mayfield pass short right to 17-S.Shepard ran ob at HOU 20 for 15 yards.,pass,Half1,2,1,2.0,,1.0,0.0,15.0,0.0,0.0,0,,,
(8:03) (Shotgun) 7-B.Irving right tackle to HOU 20 for 10 yards (5-J.Pitre).,run,Half1,2,1,1.0,10.0,0.0,0.0,,0.0,0.0,0,,,
"(7:17) (Shotgun) 6-B.Mayfield pass deep right to 81-R.Miller for 20 yards, TOUCHDOWN.",pass,Half1,2,1,2.0,,1.0,0.0,20.0,0.0,0.0,0,,,R.Miller
